Actual_Drop_Off,Predicted_Drop_Off,Actual_Conversion_Efficiency,Predicted_Conversion_Efficiency
1,1,0.15,0.14706163
1,1,0.11,0.1107458
1,1,0.08,0.08420627
1,1,0.05,0.047443338
1,1,0.36,0.35952115
1,1,0.07,0.066759065
0,0,0.02,0.019786946
0,0,0.05,0.04792288
1,1,0.21,0.21321695
1,1,0.36,0.35817516
1,1,0.3,0.30251312
0,0,0.04,0.036772065
1,1,0.1,0.098643124
1,1,0.13,0.12769128
0,0,0.03,0.02906901
1,1,0.26,0.26202178
1,1,0.1,0.103563756
0,0,0.02,0.014574505
1,1,0.17,0.17004392
1,1,0.08,0.07838921
1,1,1.05,1.0509145
1,1,0.2,0.20167868
0,0,0.05,0.046338253
1,1,0.17,0.16799027
1,1,0.13,0.12607801
0,0,0.04,0.037348777
1,1,0.11,0.10721037
0,0,0.04,0.035127312
1,1,0.08,0.07828559
1,1,0.08,0.07217421
1,1,0.12,0.11379327
1,1,0.06,0.058294922
1,1,0.87,0.86913425
1,1,0.06,0.050819688
0,0,0.05,0.049687628
0,0,0.03,0.026728977
1,1,0.09,0.08989327
1,1,0.07,0.06537296
0,0,0.02,0.021321055
1,1,0.12,0.11956222
0,0,0.05,0.04803934
1,1,0.22,0.21861593
1,1,0.08,0.07806249
1,1,0.15,0.15109065
0,0,0.01,0.01239638
1,1,0.08,0.07659127
0,0,0.01,0.011977419
1,1,0.11,0.10902783
1,1,0.09,0.08534856
0,0,0.02,0.0173655
1,1,0.08,0.07447365
1,1,0.1,0.097853824
1,1,0.16,0.15786089
0,0,0.03,0.028912876
0,0,0.02,0.025663711
0,0,0,0.005877294
1,1,0.11,0.10245828
0,0,0.03,0.028099518
1,1,0.11,0.10389981
1,1,0.57,0.5665973
0,0,0.03,0.029464608
0,0,0.01,0.011775859
0,0,0.04,0.03530491
0,0,0.01,0.013873164
1,1,0.51,0.5126191
0,0,0,0.002915196
1,1,0.25,0.24621986
0,0,0.02,0.021424819
0,0,0.04,0.043769877
1,1,0.75,0.7464838
0,0,0.02,0.019654708
1,1,0.12,0.11595248
0,0,0.03,0.03084148
1,1,0.6,0.59728056
1,1,0.13,0.13149276
1,1,0.06,0.0541934
1,1,0.15,0.14906625
1,1,0.09,0.09093897
1,1,0.46,0.4584086
1,1,0.27,0.2647683
1,1,0.18,0.18517165
1,1,0.33,0.33048946
1,1,0.18,0.18203779
1,1,0.08,0.07598105
0,0,0.01,0.01644608
1,1,0.46,0.45422727
1,1,0.42,0.42287368
1,1,0.08,0.08381111
1,1,0.03,0.03550829
1,1,0.09,0.086477265
0,0,0.04,0.0450521
1,1,0.23,0.23049997
1,1,0.64,0.6387575
1,1,0.16,0.15601805
1,1,2.2,2.2057602
1,1,0.31,0.31254476
0,0,0.02,0.022220502
1,1,0.22,0.2191323
1,1,0.1,0.09755759
1,1,0.15,0.14947203
1,1,0.36,0.3589257
0,0,0.03,0.03080625
1,1,0.3,0.30161327
1,1,0.1,0.104264975
1,1,0.94,0.9444916
0,0,0,0.016659206
1,1,0.12,0.12098293
1,1,0.09,0.08552796
1,1,0.07,0.069938324
0,0,0.02,0.018884577
1,1,0.11,0.10972561
0,0,0,0.007139534
1,1,0.34,0.3408742
1,1,0.3,0.30274618
1,1,0.11,0.10769932
0,0,0.02,0.018062964
1,1,0.14,0.1435432
1,1,0.62,0.6207328
1,1,0.12,0.12175296
1,1,0.17,0.17221282
1,1,0.1,0.10219272
0,0,0.02,0.022219673
1,1,0.06,0.06473492
0,0,0.03,0.035307523
1,1,0.37,0.369469
1,1,0.08,0.08187778
1,1,0.17,0.16608673
1,1,0.38,0.37995988
1,1,0.33,0.33160114
1,1,0.47,0.4564625
1,1,0.1,0.098108366
1,1,0.1,0.09963472
1,1,0.09,0.08845499
1,1,0.08,0.07609449
0,0,0.02,0.022606917
1,1,0.62,0.6165356
1,1,0.16,0.16892962
1,1,0.23,0.23208313
1,1,0.09,0.08549
1,1,0.12,0.10947393
1,1,0.15,0.15414159
1,1,0.2,0.19934498
0,0,0.04,0.03589969
1,1,0.07,0.0676654
0,0,0.02,0.022637505
0,0,0.04,0.035007842
1,1,0.09,0.090323046
1,1,0.07,0.068138495
0,0,0.02,0.02554319
1,1,0.15,0.14865106
1,1,0.11,0.11189856
1,1,0.11,0.11115168
1,1,0.15,0.14830014
1,1,0.14,0.13805583
1,1,0.08,0.07777345
1,1,0.17,0.17109923
1,1,0.08,0.08120436
1,1,0.17,0.17136899
1,1,0.08,0.07585676
0,0,0.02,0.022730526
1,1,0.1,0.09669146
0,0,0.05,0.050180864
0,0,0.04,0.038736053
1,1,0.36,0.3607269
1,1,0.06,0.057578832
1,1,0.1,0.099485815
1,1,0.11,0.11189003
1,1,0.04,0.038503647
1,1,0.1,0.10396941
1,1,0.07,0.073036015
1,1,0.3,0.30483627
1,1,0.09,0.08845546
1,1,0.08,0.08015677
1,1,0.21,0.21085921
1,1,0.09,0.087755874
1,1,0.33,0.32874507
0,0,0.02,0.026007216
0,0,0.01,0.022460904
1,1,0.18,0.18295373
1,1,0.19,0.18338276
0,0,0,0.003469467
1,1,0.1,0.09822062
